Group_Code,Menu_Code,Group_Name,Name,PNU,Default_Value,Minimum_Value,Maximum_Value,Unit,Scaling,Datatype,Enum,Read_Only,Help,Decimals,Variable_Name,Visibility_Index,Visibility_Rule,Alarm_Parameter_Idx,Unique_ID,ItemType,CopyType,Enum_Vis_List_Idx
,Y61,Configuration,AI4 Function,2728,0,0,90,,0,,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier",0,List of possible features that can be associated to a physical input or output,0,Id_1056346,0,1,,1056346,R,N,"['S3 Air ON evap. A:65', 'S4 Air OFF evap. A:66', 'S5 Evaporator A:67', 'S6 product temp.:68', 'S3 Air ON evap. B:69', 'S5 Evaporator B:70', 'Humidity sensor:38', 'Rail heat PWM:34', 'Fan:4', 'Fan ECO:59', 'Defrost A:60', 'Rail heat:61', 'Alarm:62', 'Light:30', 'Blinds:33', 'Compressor 1:11', 'Compressor 2:12', 'Air heater:10', 'Drain valve:63', 'Suction valve:63', 'Hotgas valve:63', 'Defrost B:64', 'Humidifier:38']"
,Y62,Configuration,AI5 Function,2729,0,0,90,,0,,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier",0,List of possible features that can be associated to a physical input or output,0,Id_1056362,0,1,,1056362,R,N,"['S3 Air ON evap. A:65', 'S4 Air OFF evap. A:66', 'S5 Evaporator A:67', 'S6 product temp.:68', 'S3 Air ON evap. B:69', 'S5 Evaporator B:70', 'Humidity sensor:38', 'Rail heat PWM:34', 'Fan:4', 'Fan ECO:59', 'Defrost A:60', 'Rail heat:61', 'Alarm:62', 'Light:30', 'Blinds:33', 'Compressor 1:11', 'Compressor 2:12', 'Air heater:10', 'Drain valve:63', 'Suction valve:63', 'Hotgas valve:63', 'Defrost B:64', 'Humidifier:38']"
,Y63,Configuration,AI6 Function,2730,0,0,90,,0,,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier",0,List of possible features that can be associated to a physical input or output,0,Id_1056378,0,1,,1056378,R,N,"['S3 Air ON evap. A:65', 'S4 Air OFF evap. A:66', 'S5 Evaporator A:67', 'S6 product temp.:68', 'S3 Air ON evap. B:69', 'S5 Evaporator B:70', 'Humidity sensor:38', 'Rail heat PWM:34', 'Fan:4', 'Fan ECO:59', 'Defrost A:60', 'Rail heat:61', 'Alarm:62', 'Light:30', 'Blinds:33', 'Compressor 1:11', 'Compressor 2:12', 'Air heater:10', 'Drain valve:63', 'Suction valve:63', 'Hotgas valve:63', 'Defrost B:64', 'Humidifier:38']"
,Y64,Configuration,AI7 Function,2731,0,0,90,,0,,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier",0,List of possible features that can be associated to a physical input or output,0,Id_1056394,58,GetVar(184) == 7 || GetVar(184) == 8,,1056394,R,N,"['S3 Air ON evap. A:65', 'S4 Air OFF evap. A:66', 'S5 Evaporator A:67', 'S6 product temp.:68', 'S3 Air ON evap. B:69', 'S5 Evaporator B:70', 'Humidity sensor:38', 'Rail heat PWM:34', 'Fan:4', 'Fan ECO:59', 'Defrost A:60', 'Rail heat:61', 'Alarm:62', 'Light:30', 'Blinds:33', 'Compressor 1:11', 'Compressor 2:12', 'Air heater:10', 'Drain valve:63', 'Suction valve:63', 'Hotgas valve:63', 'Defrost B:64', 'Humidifier:38']"
,U69,Configuration,AO1 Function,2699,0,0,90,,0,,"30:Pe Evap. pressure,31:S2 Gas outlet A,32:S3 Air ON evap. A,33:S4 Air OFF evap. A,34:S5 Evaporator A,35:S6 product temp.,36:S3 Air ON evap. B,37:S5 Evaporator B,38:Humidity sensor,90:Rail heat PWM,60:Digital input status,61:Door function,62:Door alarm,63:Defrost start,64:Main switch,65:Night setback,66:Thermostat band,67:Alarm at closed,68:Alarm at open,69:Case cleaning,70:Forced cooling,71:Open blinds,72:Coordinated def.,73:Forced closing,74:Shut down,75:Light control,76:Leak detection,77:Adap liquid ctrl,0:None,1:AKV opening A,2:Fan,3:Fan ECO,4:Defrost A,5:Rail heat,6:Alarm,7:Light,8:Blinds,9:Compressor 1,10:Compressor 2,11:Air heater,12:Drain valve,13:Suction valve,14:Hotgas valve,15:Defrost B,16:Humidifier",0,List of possible features that can be associated to a physical input or output,0,Id_1056266,0,1,,1056266,R,N,"['S3 Air ON evap. A:65', 'S4 Air OFF evap. A:66', 'S5 Evaporator A:67', 'S6 product temp.:68', 'S3 Air ON evap. B:69', 'S5 Evaporator B:70', 'Humidity sensor:38', 'Rail heat PWM:34', 'Fan:4', 'Fan ECO:59', 'Defrost A:60', 'Rail heat:61', 'Alarm:62', 'Light:30', 'Blinds:33', 'Compressor 1:11', 'Compressor 2:12', 'Air heater:10', 'Drain valve:63', 'Suction valve:63', 'Hotgas valve:63', 'Defrost B:64', 'Humidifier:38']"
,u00,Thermostat control,Control state A,2007,0,0,48,,0,,"0:Normal ctrl.,1:Hold after defrost,2:Min ON timer,3:Min OFF timer,4:Drip off,5:Restart timer,6:Ctrl_Sout,7:Ctrl_Sin,8:Cut in delay,9:Cut out delay,10:Main switch OFF,11:Thermostat cutout,12:Frost protection S4,13:Not_used,14:Defrost,15:Fan delay,17:Door open,18:Melt period,19:Modulating temp. control,20:Emergency control,21:Injection error,22:Charging evaporator,23:Adaptive superheat control,24:Start injection,25:Manual control,26:No refrigerant selected,16:Forced closing,27:Forced_cooling1,28:AmbientMode,29:Case cleaning,30:Forced cooling,31:Door open,32:Power up delay,33:Air heating,35:Cooling_ON_B,36:Cooling_OFF_B,37:Cooling_ON_C,38:Cooling_OFF_C,39:Cooling_ON_D,40:Cooling_OFF_D,41:High_Sc,42:Heat_Recovery,43:S43,44:Sensor_error_recovery,45:Shut down controller,46:Power_Module,47:Load_shed,48:Adaptive liquid control",0,Readout of the actual control state of the controller,0,Id_1053670,0,1,,1053670,R,N,[]
,u17,Thermostat control,Thermostat air temp. A,2532,0,-200,200,°C,0,Float,,0,Thermostat temperature,1,Id_1053472,0,1,,1053472,R,N,[]
,U72,Thermostat control,Food temperature A,2702,0,-200,200,°C,0,Float,,0,Read out of food temperature,1,Id_1053451,0,1,,1053451,R,N,[]
,u12,Thermostat control,S3 Air ON evap. A,2530,0,-200,200,°C,0,Float,,0,Actual sensor value,1,Id_1053713,65,GetVar(6) < 100 || GetVar(11) < 100 || GetVar(135) < 100 || GetVar(100) < 100 || GetVar(286) == 3 || GetVar(39) > 0,,1053713,R,N,[]
,u76,Thermostat control,S3 Air ON evap. B,2596,0,-200,200,°C,0,Float,,0,Actual sensor value,1,Id_1053908,69,(GetVar(6) < 100 || GetVar(11) < 100 || GetVar(135) < 100 || GetVar(100) < 100) and (GetVar(184) == 6 || GetVar(184) == 7),,1053908,R,N,[]
,u16,Thermostat control,S4 Air OFF evap. A,2531,0,-200,200,°C,0,Float,,0,Actual sensor value,1,Id_1053726,66,GetVar(6) > 0 || GetVar(11) > 0 || GetVar(135) > 0 || GetVar(100) > 0 || (GetVar(25) > 0 and GetVar(34) == 2) || GetVar(14) > -50 || GetVar(39) > 0,,1053726,R,N,[]
,u13,Thermostat control,Night condition,2533,0,0,1,,0,,"0:OFF,1:ON",0,Status at the day-/night operation (night operation: on/off),0,Id_1048672,0,1,,1048672,R,N,[]
,u90,Thermostat control,Thermostat cutin temp.,2612,4,-200,200,°C,0,Float,,0,Readout of the actual cutin value for the thermostat,1,Id_1053475,0,1,,1053475,R,N,[]
,u91,Thermostat control,Thermostat cutout temp.,2613,2,-200,200,°C,0,Float,,0,Readout of the actual cut out value for the thermostat,1,Id_1053476,0,1,,1053476,R,N,[]
,u18,Thermostat control,Thermostat runtime A,2539,0,0,999,min,0,INT,,0,Read the ongoing cutin time for the thermostat or the duration of the last completed cutin,0,Id_1053474,0,1,,1053474,R,N,[]
,u86,Thermostat control,Thermostat band,2607,1,1,2,,0,,"1:Band 1,2:Band 2",0,"Readout of which thermostat used for regulation: 


1= Thermostat band 1

2= Thermostat band 2",0,Id_1053470,9,(GetVar(194) == 7) || (GetVar(195) == 7) || (GetVar(196) == 7),,1053470,R,N,[]
,r14,Thermostat control,Thermostat mode,124,1,1,2,,0,,"1:ON/OFF,2:Modulating",1,"Here it is defined how the thermostat is to operate. Either as an ordinary ON/OFF thermostat or as a modulating thermostat.
When operation is ”modulating” the valve will limit the flow of refrigerant so that the temperature variation will be less than for the ON/OFF thermostat.
The thermostat differential (r01) must not be set lower than 2K for """"modulating"""".
In a decentralised plant you must select the ON/OFF thermostat setting.""",0,Id_1053442,0,1,,1053442,S,S,[]
,r00,Thermostat control,Cutout 1,100,2,-50,50,°C,0,Float,,0,"Set point. 
The thermostat’s cutout value when the given thermostat band is in use",1,Id_1053499,0,1,,1053499,S,S,[]
,r21,Thermostat control,Cutout 2,131,2,-50,50,°C,0,Float,,0,"Set point. 
The thermostat’s cutout value when the given thermostat band is in use",1,Id_1053518,9,(GetVar(194) == 7) || (GetVar(195) == 7) || (GetVar(196) == 7),,1053518,S,S,[]
,r01,Thermostat control,Differential,101,2,0.1,20,°C,0,Float,,1,"When the temperature is higher than the set cutout + the set differential, the compressor relay will be cut in. It will cut out again when the temperature comes down to the set cutout limit",1,Id_1053501,0,1,,1053501,S,S,[]
,r02,Thermostat control,Max cutout limit,102,50,-50,50,°C,0,Float,,0,"Setpoint limitation - 
The controller’s setting range for the thermostat setpoint may be narrowed down, so that much too high or much too low values are not set accidentally - with resulting damages.
To avoid a too high setting of the setpoint, the max. allowable reference value may be lowered",1,Id_1053467,0,1,,1053467,S,S,[]
,r03,Thermostat control,Min cutout limit,103,-50,-50,50,°C,0,Float,,0,"Setpoint limitation - 
The controller’s setting range for the thermostat setpoint may be narrowed down, so that much too high or much too low values are not set accidentally - with resulting damages.
To avoid a too low setting of the setpoint, the min. allowable reference value may be increased",1,Id_1053468,0,1,,1053468,S,S,[]
,r15,Thermostat control,Thermostat sensor S4 %,123,100,0,100,%,0,INT,,1,"Selection of thermostat sensor. 
Here you define the sensor the thermostat is to use for its control function. S3, S4, or a combination of them. 
With the setting 0%, only S3 is used. 
With 100%, only S4.",0,Id_1053462,0,1,,1053462,S,S,[]
,r61,Thermostat control,Thermostat sensor S4 % night,182,100,0,100,%,0,INT,,1,"Selection of thermostat sensor S4% during night operation with night blinds. 
Here you define the sensor the thermostat is to use for its control function. S3, S4, or a combination of them. 
With the setting 0%, only S3 is used. 
With 100%, only S4.",0,Id_1053463,0,1,,1053463,S,S,[]
,r13,Thermostat control,Night offset,125,0,-50,50,°C,0,Float,,1,"Night setback value.
The thermostat’s reference will be the setpoint plus this value when the controller changes over to night operation.",1,Id_1053461,0,1,,1053461,S,S,[]
,r98,Thermostat control,S4 frost protection,216,-50,-50,50,°C,0,Float,,1,"Frost protection on S4 air temperature. If the S4 temperature sensors measures a temperature lower than the set limit, refrigeration will be stopped in order to protect produce from ice formation. Refrigeration will start again when the S4 temperature has risen 2K above the set limit",1,Id_1053471,0,1,,1053471,S,S,[]
,r62,Thermostat control,Air heater neutral zone,183,5,0,50,°C,0,Float,,1,"Heat function. 
Set the width of the Neutral Zone for changeover from cooling to heating """,1,Id_1053465,10,GetVar(184) == 9 and (GetVar(185) == 10 || GetVar(186) == 10 || GetVar(188) == 10 || GetVar(187) == 10 || GetVar(193) == 10),,1053465,S,S,[]
,r63,Thermostat control,Air heater start delay,184,240,0,240,min,0,INT,,1,"Time delay on transition from refrigeration phase to heating phase 
(there is not time delay on transition from heating phase to refrigeration phase)",0,Id_1053466,10,GetVar(184) == 9 and (GetVar(185) == 10 || GetVar(186) == 10 || GetVar(188) == 10 || GetVar(187) == 10 || GetVar(193) == 10),,1053466,S,S,[]
,r16,Thermostat control,Melt interval,122,1,0,10,hrs,0,INT,,1,"Melt function. 
Only for control of MT cases/rooms (-5 to +10°C). The function ensures that the evaporator will not be blocked by ice crystals. Here you set how often the function is to stop the refrigeration and hence transform the ice crystals to water.",0,Id_1053464,0,1,,1053464,S,S,[]
,r17,Thermostat control,Melt period,121,5,0,30,min,0,INT,,1,"Melt period. 
Here you set how long an on-going melt function is to last",0,Id_1053473,0,1,,1053473,S,S,[]
,u00,Alarm limits and delays,Control state A,2007,0,0,48,,0,,"0:Normal ctrl.,1:Hold after defrost,2:Min ON timer,3:Min OFF timer,4:Drip off,5:Restart timer,6:Ctrl_Sout,7:Ctrl_Sin,8:Cut in delay,9:Cut out delay,10:Main switch OFF,11:Thermostat cutout,12:Frost protection S4,13:Not_used,14:Defrost,15:Fan delay,17:Door open,18:Melt period,19:Modulating temp. control,20:Emergency control,21:Injection error,22:Charging evaporator,23:Adaptive superheat control,24:Start injection,25:Manual control,26:No refrigerant selected,16:Forced closing,27:Forced_cooling1,28:AmbientMode,29:Case cleaning,30:Forced cooling,31:Door open,32:Power up delay,33:Air heating,35:Cooling_ON_B,36:Cooling_OFF_B,37:Cooling_ON_C,38:Cooling_OFF_C,39:Cooling_ON_D,40:Cooling_OFF_D,41:High_Sc,42:Heat_Recovery,43:S43,44:Sensor_error_recovery,45:Shut down controller,46:Power_Module,47:Load_shed,48:Adaptive liquid control",0,Readout of the actual control state of the controller,0,Id_1053670,0,1,,1053670,R,N,[]
,,Alarm limits and delays,Alarm status,2541,0,0,1,,0,,"0:OFF,1:ON",0,Actual alarm status,0,Id_1048585,0,1,,1048585,R,N,[]
,u57,Alarm limits and delays,Alarm air temp. A,2578,0,-200,200,°C,0,Float,,0,Measured temperature for alarm thermostat,1,Id_1053497,0,1,,1053497,R,N,[]
,U34,Alarm limits and delays,Alarm air temp. B,2671,0,-200,200,°C,0,Float,,0,Measured temperature for alarm thermostat,1,Id_1053608,21,GetVar(184) == 6 || GetVar(184) == 7,,1053608,R,N,[]
,,Alarm limits and delays,High alarm limit,2766,0,-200,200,°C,0,Float,,0,Readout of actual high alarm limit for the temperature monitoring,1,Id_1056813,0,1,,1056813,R,N,[]
,,Alarm limits and delays,Low alarm limit,2767,0,-200,200,°C,0,Float,,0,Readout of actual low alarm limit for the temperature monitoring,1,Id_1056814,0,1,,1056814,R,N,[]
,u12,Alarm limits and delays,S3 Air ON evap. A,2530,0,-200,200,°C,0,Float,,0,Actual sensor value,1,Id_1053713,65,GetVar(6) < 100 || GetVar(11) < 100 || GetVar(135) < 100 || GetVar(100) < 100 || GetVar(286) == 3 || GetVar(39) > 0,,1053713,R,N,[]
,u76,Alarm limits and delays,S3 Air ON evap. B,2596,0,-200,200,°C,0,Float,,0,Actual sensor value,1,Id_1053908,69,(GetVar(6) < 100 || GetVar(11) < 100 || GetVar(135) < 100 || GetVar(100) < 100) and (GetVar(184) == 6 || GetVar(184) == 7),,1053908,R,N,[]
,u16,Alarm limits and delays,S4 Air OFF evap. A,2531,0,-200,200,°C,0,Float,,0,Actual sensor value,1,Id_1053726,66,GetVar(6) > 0 || GetVar(11) > 0 || GetVar(135) > 0 || GetVar(100) > 0 || (GetVar(25) > 0 and GetVar(34) == 2) || GetVar(14) > -50 || GetVar(39) > 0,,1053726,R,N,[]
,u36,Alarm limits and delays,S6 product temp.,2555,0,-200,200,°C,0,Float,,0,Actual sensor value,1,Id_1053553,68,GetVar(184) != 6 and GetVar(184) != 7 and (GetVar(138) == 1 || GetVar(286) == 4),,1053553,R,N,[]
,,Alarm limits and delays,Reset alarms,2046,0,0,1,,0,,"0:OFF,1:ON",1,"Command for resetting all alarms, unless they are still active",0,Id_1054844,0,1,,1054844,F,N,[]
,A36,Alarm limits and delays,Alarm sensor S4% A,10037,100,0,100,%,0,INT,,1,"Signal to the alarm thermostat 
Here you have to define the ratio between the sensors which the alarm thermostat has to use. S3, S4 or a combination of the two. 

With setting 0% only S3 is used. 
With 100% only S4 is used",0,Id_1053494,0,1,,1053494,S,S,[]
,A13,Alarm limits and delays,High alarm limit 1,10019,8,-50,50,°C,0,Float,,1,"Upper alarm limit. The limit value is set in absolute value.  
The limit value will be raised with the night offset during night operation.",1,Id_1053500,0,1,,1053500,S,S,[]
,A14,Alarm limits and delays,Low alarm limit 1,10020,-30,-50,50,°C,0,Float,,1,"Lower alarm limit. 
The limit value is set in absolute value",1,Id_1053502,0,1,,1053502,S,S,[]
,A20,Alarm limits and delays,High alarm limit 2,10021,8,-50,50,°C,0,Float,,1,"Upper alarm limit. The limit value is set in absolute value.  
The limit value will be raised with the night offset during night operation.",1,Id_1053519,9,(GetVar(194) == 7) || (GetVar(195) == 7) || (GetVar(196) == 7),,1053519,S,S,[]
,A21,Alarm limits and delays,Low alarm limit 2,10022,-30,-50,50,°C,0,Float,,1,"Lower alarm limit. 
The limit value is set in absolute value",1,Id_1053521,9,(GetVar(194) == 7) || (GetVar(195) == 7) || (GetVar(196) == 7),,1053521,S,S,[]
,A03,Alarm limits and delays,Alarm delay A,10002,30,0,240,min,0,INT,,1,"Alarm delay (short alarm delay on air temperature)
. If the upper or the lower alarm limit values are exceeded, a timer function will commence. The alarm will not become active until the set time delay has been passed. 
The time delay is set in minutes",0,Id_1053495,0,1,,1053495,S,S,[]
,A12,Alarm limits and delays,Alarm delay pulldown A,10018,90,0,240,min,0,INT,,1,"Alarm delay at tempeature pulldown conditions (long alarm delay). 
This time delay is used during start-up, during defrost, immediately after a defrost. There will be change-over to the normal time delay when the temperature has dropped below the set upper alarm limit.",0,Id_1053496,0,1,,1053496,S,S,[]
,A53,Alarm limits and delays,Alarm delay B,10054,30,0,240,min,0,INT,,1,"Alarm delay (short alarm delay on air temperature)
. If the upper or the lower alarm limit values are exceeded, a timer function will commence. The alarm will not become active until the set time delay has been passed. 
The time delay is set in minutes",0,Id_1053606,21,GetVar(184) == 6 || GetVar(184) == 7,,1053606,S,S,[]
,a01,Alarm limits and delays,Use product sensor S6,10096,0,0,1,,0,,"0:No,1:Yes",1,Select whether a separate S6 product sensor must be used for monitoring of the produce temperature,0,Id_1053537,29,GetVar(184) != 6 and GetVar(184) != 7,,1053537,C,S,[]
,A22,Alarm limits and delays,S6 High alarm limit 1,10023,8,-50,50,°C,0,Float,,1,Upper alarm limit for S6 product temperature. The limit is raised with the nightoffset during night operation.,1,Id_1053503,25,GetVar(184) != 6 and GetVar(184) != 7 and GetVar(138) == 1,,1053503,S,S,[]
,A23,Alarm limits and delays,S6 Low alarm limit 1,10024,-30,-50,50,°C,0,Float,,1,Lower alarm limit for S6 product temperature,1,Id_1053504,25,GetVar(184) != 6 and GetVar(184) != 7 and GetVar(138) == 1,,1053504,S,S,[]
,A24,Alarm limits and delays,S6 High alarm limit 2,10025,8,-50,50,°C,0,Float,,1,Upper alarm limit for S6 product temperature. The limit is raised with the nightoffset during night operation.,1,Id_1053522,26,GetVar(184) != 6 and GetVar(184) != 7 and GetVar(138) == 1 and ((GetVar(194) == 7) || (GetVar(195) == 7) || (GetVar(196) == 7)),,1053522,S,S,[]
,A25,Alarm limits and delays,S6 Low alarm limit 2,10026,-30,-50,50,°C,0,Float,,1,Lower alarm limit for S6 product temperature,1,Id_1053523,26,GetVar(184) != 6 and GetVar(184) != 7 and GetVar(138) == 1 and ((GetVar(194) == 7) || (GetVar(195) == 7) || (GetVar(196) == 7)),,1053523,S,S,[]
,A26,Alarm limits and delays,S6 alarm delay,10027,60,0,240,min,0,INT,,1,"S6 temperature alarm delay. 
The alarm is activated if one of the relevant alarm limits is exceeded. The time delay is set in minutes. 
(Alarms will not activate when the setting is set to the maximum value.)",0,Id_1053539,25,GetVar(184) != 6 and GetVar(184) != 7 and GetVar(138) == 1,,1053539,S,S,[]
,A52,Alarm limits and delays,S6 alarm pulldown del.,10053,90,0,240,min,0,INT,,1,"Time delay on S6 (product sensor) at  temperature pull-down conditions (long alarm delay).
 This time delay is used for start-up, during defrosting, immediately after a defrost and after an appliance cleaning. 
A change is carried out to standard time delay (A26) when the temperature has reached below the set upper alarm limit.",0,Id_1053540,25,GetVar(184) != 6 and GetVar(184) != 7 and GetVar(138) == 1,,1053540,S,S,[]
,A04,Alarm limits and delays,Door open alarm delay,10003,60,0,240,min,0,INT,,1,Time delay for door alarm,0,Id_1054316,24,(GetVar(194) == 2) || (GetVar(194) == 3) || (GetVar(195) == 2) || (GetVar(195) == 3) || (GetVar(196) == 2) || (GetVar(196) == 3),,1054316,S,S,[]
,o89,Alarm limits and delays,Door restart inj. delay,2120,30,0,240,min,0,INT,,1,"Start of refrigeration when door is open. 
If the door has been left open, refrigeration will be started after the set time.",0,Id_1054320,39,(GetVar(194) == 2) || (GetVar(195) == 2) || (GetVar(196) == 2),,1054320,S,S,[]
,A27,Alarm limits and delays,Alarm delay DI 1,10028,30,0,240,min,0,INT,,1,Time delay for digital input alarm,0,Id_1054334,27,GetVar(184) != 7 and GetVar(184) != 8 and ((GetVar(194) == 8) || (GetVar(194) == 9)),,1054334,S,S,[]
,A28,Alarm limits and delays,Alarm delay DI 2,10029,30,0,240,min,0,INT,,1,Time delay for digital input alarm,0,Id_1055016,28,(GetVar(195) == 8) || (GetVar(195) == 9),,1055016,S,S,[]
,u00,Humidity control,Control state A,2007,0,0,48,,0,,"0:Normal ctrl.,1:Hold after defrost,2:Min ON timer,3:Min OFF timer,4:Drip off,5:Restart timer,6:Ctrl_Sout,7:Ctrl_Sin,8:Cut in delay,9:Cut out delay,10:Main switch OFF,11:Thermostat cutout,12:Frost protection S4,13:Not_used,14:Defrost,15:Fan delay,17:Door open,18:Melt period,19:Modulating temp. control,20:Emergency control,21:Injection error,22:Charging evaporator,23:Adaptive superheat control,24:Start injection,25:Manual control,26:No refrigerant selected,16:Forced closing,27:Forced_cooling1,28:AmbientMode,29:Case cleaning,30:Forced cooling,31:Door open,32:Power up delay,33:Air heating,35:Cooling_ON_B,36:Cooling_OFF_B,37:Cooling_ON_C,38:Cooling_OFF_C,39:Cooling_ON_D,40:Cooling_OFF_D,41:High_Sc,42:Heat_Recovery,43:S43,44:Sensor_error_recovery,45:Shut down controller,46:Power_Module,47:Load_shed,48:Adaptive liquid control",0,Readout of the actual control state of the controller,0,Id_1053670,0,1,,1053670,R,N,[]
,U57,Humidity control,Humidity sensor,2687,0,0,100,%,0,INT,,0,,0,Id_1054315,38,GetVar(184) == 8 and GetVar(309) == 1,,1054315,R,N,[]
,h31,Humidity control,Humidity control,2261,0,0,1,,0,,"0:No,1:Yes",1,Select whether humidity control is to be used or not,0,Id_1056812,1,GetVar(184) == 8,,1056812,S,S,[]
,h23,Humidity control,Humidity cutin,2214,70,0,100,%,0,INT,,0,Set point for the humidity control. If the relative humidity goes below the set point the humidifier is started,0,Id_1054285,38,GetVar(184) == 8 and GetVar(309) == 1,,1054285,S,S,[]
,h24,Humidity control,Humidity differential,2215,5,1,30,%,0,INT,,1,Differential for stopping humidifier. Humidification is stopped when the humidity has increased with the set differntial above the set point,0,Id_1054290,38,GetVar(184) == 8 and GetVar(309) == 1,,1054290,S,S,[]
,h25,Humidity control,Humidity high alarm limit,2216,100,0,100,%,0,INT,,1,High alarm limit for relative humidity,0,Id_1054287,38,GetVar(184) == 8 and GetVar(309) == 1,,1054287,S,S,[]
,h26,Humidity control,Humidity low alarm limit,2217,0,0,100,%,0,INT,,1,Low alarm limit for relative humidity,0,Id_1054288,38,GetVar(184) == 8 and GetVar(309) == 1,,1054288,S,S,[]
,h27,Humidity control,Humidity alarm delay,2218,60,0,240,min,0,INT,,1,Delay of high and low humidity alarms,0,Id_1054289,38,GetVar(184) == 8 and GetVar(309) == 1,,1054289,S,S,[]
,h29,Humidity control,Humidity sensor - Min signal,2220,0,0,100,%,0,INT,,1,,0,Id_1054313,38,GetVar(184) == 8 and GetVar(309) == 1,,1054313,C,S,[]
,h30,Humidity control,Humidity sensor - Max signal,2221,100,0,100,%,0,INT,,1,,0,Id_1054314,38,GetVar(184) == 8 and GetVar(309) == 1,,1054314,C,S,[]
,h28,Humidity control,Humidity ctrl. at defrost,2219,0,0,1,,0,,"0:No,1:Yes",1,"Select how to control humidity during defrost:

No: Humidity control is stopped during defrost

Yes: Normal humidity control is running during defrost",0,Id_1054284,38,GetVar(184) == 8 and GetVar(309) == 1,,1054284,S,S,[]
